stop_id,departures_7to10
1,19
2,91
3,88
4,13
5,75
7,72
8,75
9,48
10,6
11,5
12,86
13,12
14,12
16,35
17,252
18,58
19,27
20,26
21,39
22,51
23,22
24,134
25,29
26,17
28,152
29,30
30,23
31,69
32,12
33,31
34,172
35,79
36,73
37,25
40,41
42,88
44,130
45,43
46,22
48,74
50,62
51,39
52,26
53,37
54,93
56,30
57,86
58,77
60,8
61,58
62,41
63,37
64,12
65,34
66,109
68,77
69,29
71,44
72,37
73,85
74,54
76,22
77,22
79,43
80,36
81,139
83,84
84,122
85,42
86,78
87,28
88,30
89,24
90,80
91,34
92,27
93,40
94,139
95,17
96,45
98,88
99,38
100,30
101,24
103,140
104,113
105,32
106,93
107,26
110,28
111,169
112,16
114,63
115,23
116,23
117,96
119,112
120,19
121,41
122,37
123,35
125,28
126,22
127,73
128,72
129,63
130,73
131,44
132,58
133,36
134,63
135,37
136,84
137,30
138,57
139,94
140,133
141,24
142,55
143,41
144,28
145,69
146,30
147,29
148,28
149,96
150,35
151,55
152,73
153,61
154,37
155,72
156,47
157,60
159,83
160,47
161,241
164,72
165,105
166,36
167,29
169,62
170,49
171,34
173,73
175,102
176,74
177,27
178,222
179,113
180,37
181,31
182,20
183,54
184,54
185,110
186,71
187,28
188,29
189,24
190,29
191,35
192,32
193,6
195,74
196,40
197,78
198,72
199,71
200,18
201,55
202,119
203,42
204,38
206,73
207,79
208,48
209,83
210,216
211,26
212,61
213,111
214,228
215,38
217,42
218,41
219,135
220,31
221,21
222,76
223,105
224,32
225,102
226,35
227,39
228,52
229,69
230,23
231,30
233,27
235,32
236,37
237,26
238,25
239,27
242,34
244,31
245,12
246,29
247,49
248,32
249,168
250,141
251,158
252,29
253,53
255,90
256,5
258,26
259,47
260,92
261,50
262,107
263,32
264,22
265,120
266,36
267,41
268,72
269,38
270,117
271,82
273,44
274,173
275,100
276,51
277,45
278,45
279,71
280,65
281,8
283,19
284,32
285,87
287,77
288,18
289,31
290,46
292,79
293,22
294,95
295,29
296,34
297,35
298,135
300,68
301,2
302,80
303,143
304,83
305,93
306,132
307,37
308,41
309,6
310,36
311,1
312,24
313,93
314,72
315,184
316,37
317,106
318,103
320,114
321,81
322,5
323,91
324,107
325,27
326,31
327,26
328,57
329,40
330,96
332,28
333,68
334,112
335,44
336,110
337,71
338,58
339,66
340,131
341,105
342,128
343,27
344,31
345,148
346,59
347,96
348,109
350,29
352,40
353,30
355,29
356,25
358,30
360,18
361,84
362,16
363,32
364,56
365,17
367,35
368,60
369,79
370,32
371,82
372,57
373,120
374,29
375,51
376,19
377,239
378,41
379,57
380,61
382,63
383,32
384,237
385,32
386,124
387,65
388,78
390,22
391,36
394,33
395,54
396,37
398,25
399,24
400,27
401,57
402,37
403,61
404,70
406,174
407,76
408,59
409,41
411,43
412,67
414,25
416,505
417,9
418,55
419,66
421,41
422,76
424,32
425,82
426,30
427,24
428,9
429,61
430,8
431,38
432,57
433,33
434,30
436,29
437,30
438,97
439,42
440,55
442,190
443,35
444,28
445,32
446,31
447,14
448,6
449,134
450,37
452,29
453,44
454,65
455,24
456,31
457,27
458,33
459,78
460,95
461,80
462,27
463,168
464,71
465,18
466,33
467,27
468,27
469,28
470,55
471,81
472,83
473,176
474,34
475,59
477,72
478,41
480,28
481,107
482,35
483,26
484,74
485,82
486,82
487,26
489,39
490,29
491,34
492,26
493,100
494,33
495,136
497,77
498,77
499,83
500,60
501,105
502,59
503,202
504,61
505,30
506,74
507,40
509,27
510,78
511,69
512,71
513,78
514,74
515,75
516,38
518,47
519,84
520,18
521,33
522,32
523,77
524,38
525,64
526,53
527,28
528,59
529,43
530,56
531,40
532,71
533,135
534,147
536,84
538,59
539,42
540,78
541,29
542,71
543,110
545,43
546,84
547,98
548,32
549,76
550,77
551,28
552,71
554,33
555,42
556,42
557,226
558,65
559,34
560,27
561,223
562,37
563,79
564,27
565,60
566,51
567,37
569,81
570,68
571,53
572,36
573,28
575,53
576,100
578,16
580,41
581,51
583,35
584,36
585,29
586,88
587,126
588,118
589,12
590,119
591,175
592,16
593,28
595,99
596,230
597,61
598,28
599,27
600,72
601,24
602,94
603,29
604,28
605,125
606,60
607,39
609,28
610,75
611,83
612,49
613,19
614,12
615,69
616,150
617,31
618,160
619,60
620,86
621,145
623,24
624,50
625,65
627,30
628,51
632,91
634,77
635,48
636,52
637,43
638,18
640,35
641,41
642,42
643,38
645,82
646,26
647,75
648,37
649,35
650,95
651,64
652,22
653,43
654,56
655,27
656,113
657,87
658,38
659,17
660,59
661,17
662,159
663,51
664,41
665,10
666,37
670,42
672,15
674,1
675,108
676,32
677,43
679,65
680,59
681,42
682,9
683,76
684,213
685,88
686,76
687,29
689,88
690,38
691,23
695,74
696,50
697,41
698,45
699,85
700,61
701,47
702,27
703,29
705,71
706,82
708,29
709,28
710,63
711,42
712,34
713,27
714,28
715,25
716,48
717,127
718,66
719,69
720,19
721,25
722,25
723,174
724,29
725,72
727,127
728,28
730,36
731,38
732,25
734,52
735,30
736,81
738,29
739,114
740,9
742,65
743,18
744,59
745,27
746,110
747,115
748,49
749,93
750,31
751,215
752,110
755,70
756,76
757,26
758,65
759,29
761,34
762,28
763,119
764,175
766,28
767,77
768,95
769,36
770,71
771,22
772,16
774,65
777,29
778,48
779,63
780,81
781,53
782,92
783,74
784,44
786,42
787,38
788,54
789,33
790,75
792,29
794,82
795,40
796,107
797,125
798,126
799,79
800,83
802,30
803,51
804,28
805,79
806,93
807,38
808,19
809,37
810,78
811,77
812,108
813,42
814,30
815,72
816,72
817,93
818,26
819,32
820,90
821,37
822,42
823,90
824,29
825,133
826,23
827,112
828,27
829,30
830,31
831,58
832,18
833,40
834,72
835,34
836,79
840,60
841,78
842,27
843,100
844,70
845,82
848,31
849,73
850,28
851,51
852,68
853,72
854,15
855,25
856,83
858,53
859,34
860,38
862,30
863,218
864,98
865,34
866,78
868,35
869,91
870,115
872,25
873,63
874,42
875,28
876,87
877,78
878,90
879,43
880,25
881,36
882,37
883,29
884,167
885,130
886,76
887,80
888,40
889,83
890,32
891,65
892,5
893,64
894,42
895,42
897,143
898,96
899,45
901,54
902,24
904,54
905,31
906,61
907,50
908,91
909,37
910,45
911,67
913,32
914,135
916,37
917,33
918,56
919,41
920,60
921,257
922,72
923,41
924,32
925,160
927,82
928,201
929,76
930,62
931,48
932,126
933,78
934,28
935,71
936,33
937,197
938,132
939,36
940,25
942,66
943,49
946,139
947,40
950,57
951,97
952,30
953,38
954,54
955,34
956,37
957,53
958,25
959,69
960,80
962,52
963,92
964,51
966,45
967,37
968,41
969,35
970,55
971,76
972,26
975,32
976,63
977,33
978,93
979,145
980,117
981,25
982,152
983,26
984,22
985,29
986,25
988,43
989,181
990,39
992,38
993,28
996,35
997,34
998,18
999,129
1000,32
1001,110
1002,32
1003,91
1004,37
1005,104
1006,31
1009,241
1010,74
1011,33
1012,59
1013,159
1014,82
1015,52
1016,28
1017,80
1018,114
1019,44
1020,31
1021,217
1022,30
1023,33
1024,51
1025,113
1026,55
1029,36
1030,24
1032,29
1033,7
1034,71
1035,107
1036,135
1037,79
1038,79
1039,85
1040,50
1041,96
1042,95
1044,43
1045,21
1046,56
1047,26
1048,90
1049,98
1050,37
1051,56
1053,79
1054,171
1058,42
1059,83
1060,89
1061,6
1062,46
1063,32
1065,34
1066,50
1067,146
1068,5
1069,127
1070,104
1071,97
1072,27
1073,30
1074,34
1075,103
1076,123
1077,71
1078,33
1079,92
1080,12
1081,118
1082,81
1083,30
1084,122
1085,43
1086,41
1087,28
1088,5
1089,22
1090,30
1091,51
1092,42
1093,86
1094,35
1095,39
1096,71
1097,173
1098,82
1099,233
1100,53
1102,196
1103,22
1104,33
1106,90
1107,10
1108,47
1109,109
1110,46
1111,89
1112,30
1114,34
1115,132
1116,52
1117,57
1118,32
1119,120
1120,17
1122,97
1123,29
1124,40
1125,16
1126,56
1128,75
1129,121
1130,79
1131,31
1132,74
1133,17
1134,61
1135,36
1137,205
1138,134
1141,34
1142,38
1143,22
1144,22
1147,51
1149,12
1150,84
1151,169
1152,46
1153,87
1154,34
1155,37
1156,36
1158,25
1159,7
1161,19
1162,52
1163,76
1164,76
1166,78
1167,93
1168,34
1170,96
1171,146
1172,29
1173,60
1174,124
1175,70
1176,3
1177,83
1178,75
1180,77
1181,30
1183,32
1184,36
1185,28
1186,33
1187,86
1188,77
1189,41
1190,37
1192,83
1193,86
1194,30
1196,12
1197,28
1199,29
1200,54
1201,27
1202,64
1203,28
1205,42
1206,58
1207,85
1208,30
1209,15
1211,80
1212,90
1214,51
1215,35
1216,18
1217,258
1218,21
1219,52
1220,27
1221,92
1222,78
1223,68
1224,57
1225,41
1226,73
1227,63
1228,42
1229,19
1230,77
1231,38
1232,86
1233,46
1235,32
1236,24
1237,27
1238,27
1240,65
1241,30
1242,76
1243,72
1244,137
1245,79
1246,65
1248,34
1249,37
1250,62
1252,43
1253,50
1254,80
1256,15
1258,73
1259,35
1260,135
1261,84
1262,87
1263,99
1264,96
1265,39
1267,29
